tempo;L(t);W_wait_avg_s;p_util;OperatorsBusyAvg;Arrivals;Blocked;Served;MaxOperatorsBusy;CarriedErlangs
17820;0;0;0.882461;43.2406;35;0;35;49;43.2406
17880;0;0;0.847649;41.5348;24;0;24;45;41.5348
17940;0;0;0.8739;42.8211;30;0;30;48;42.8211
18000;0;0;0.893667;43.7897;20;0;20;49;43.7897
18060;0;0;0.621672;30.4619;14;0;14;36;30.4619
18120;0;0;0.508573;24.9201;20;0;20;31;24.9201
18180;0;0;0.685513;33.5901;35;0;35;40;33.5901
18240;0;0;0.874454;42.8482;24;0;24;49;42.8482
18300;1.12614;3.21753;0.989188;48.4702;21;0;21;49;48.4702
18360;0;0;0.897288;43.9671;26;0;26;47;43.9671
18420;0;0;0.906668;44.4267;25;0;25;49;44.4267
18480;0;0;0.915865;44.8774;24;0;24;48;44.8774
18540;0;0;0.915432;44.8562;30;0;30;48;44.8562
18600;0.327307;0.755324;0.94984;46.5422;26;0;26;49;46.5422
18660;0.164257;0.339842;0.94896;46.499;29;0;29;49;46.499
18720;2.66782;4.44637;0.99966;48.9834;36;0;36;49;48.9834
18780;3.57954;9.33794;0.997792;48.8918;23;0;23;49;48.8918
18840;0.12874;0.308975;0.939439;46.0325;25;0;25;49;46.0325
18900;0.0102438;0.0236394;0.927789;45.4617;26;0;26;49;45.4617
18960;0;0;0.846066;41.4573;26;0;26;47;41.4573
19020;0;0;0.880501;43.1446;31;0;31;49;43.1446
19080;0.0687285;0.164948;0.935696;45.8491;25;0;25;49;45.8491
19140;3.5459;5.90983;0.997732;48.8889;36;0;36;49;48.8889
19200;0.612107;1.26643;0.939217;46.0216;29;0;29;49;46.0216
19260;0.307737;0.738569;0.97528;47.7887;25;0;25;49;47.7887
19320;0.511018;0.87603;0.94394;46.2531;35;0;35;49;46.2531
19380;1.26373;2.23012;0.891434;43.6802;35;1;34;49;43.6802
19440;0.493747;1.23437;0.957556;46.9202;28;4;24;49;46.9202
19500;0;0;0.855394;41.9143;22;0;22;48;41.9143
19560;0.0535307;0.114709;0.941918;46.154;28;0;28;49;46.154
19620;0;0;0.942024;46.1592;23;0;23;49;46.1592
19680;0;0;0.72761;35.6529;18;0;18;38;35.6529
19740;0;0;0.790024;38.7112;28;0;28;48;38.7112
19800;0;0;0.930445;45.5918;24;0;24;49;45.5918
19860;0;0;0.930731;45.6058;27;0;27;49;45.6058
19920;1.64712;3.08834;0.98792;48.4081;32;0;32;49;48.4081
19980;1.77598;4.09841;0.997316;48.8685;26;0;26;49;48.8685
20040;0.0366546;0.0916366;0.913071;44.7405;24;0;24;49;44.7405
20100;0;0;0.784765;38.4535;25;0;25;45;38.4535
20160;0;0;0.709421;34.7616;26;0;26;37;34.7616
20220;0;0;0.851601;41.7285;34;0;34;46;41.7285
20280;0;0;0.750907;36.7945;19;0;19;43;36.7945
20340;0;0;0.85309;41.8014;32;0;32;47;41.8014
20400;0.966597;1.65702;0.967057;47.3858;35;0;35;49;47.3858
20460;0.843514;1.94657;0.948171;46.4604;26;0;26;49;46.4604
20520;0;0;0.888179;43.5208;25;0;25;47;43.5208
20580;0;0;0.850529;41.6759;28;0;28;45;41.6759
20640;0;0;0.8388;41.1012;27;0;27;45;41.1012
20700;0;0;0.840405;41.1798;27;0;27;46;41.1798
20760;0;0;0.900537;44.1263;32;0;32;49;44.1263
20820;1.92534;4.62081;0.995824;48.7954;26;1;25;49;48.7954
20880;1.66904;3.03462;0.98267;48.1508;34;1;33;49;48.1508
20940;0.0506105;0.116794;0.971352;47.5962;26;0;26;49;47.5962
21000;0;0;0.899459;44.0735;23;0;23;49;44.0735
21060;0.0450321;0.122815;0.941598;46.1383;22;0;22;49;46.1383
21120;0.887389;1.61343;0.963054;47.1896;36;3;33;49;47.1896
21180;0.897416;1.79483;0.977452;47.8952;30;0;30;49;47.8952
21240;10.6268;18.7531;0.998941;48.9481;38;4;34;49;48.9481
21300;10.2356;25.5889;1;49;28;4;24;49;49
21360;13.7833;25.0606;1;49;35;2;33;49;49
21420;16.875;29.7793;1;49;37;3;34;49;49
21480;2.38981;8.9618;0.997868;48.8955;16;0;16;49;48.8955
21540;1.11315;2.67156;0.996398;48.8235;25;0;25;49;48.8235
21600;0.71512;1.3841;0.975031;47.7765;31;0;31;49;47.7765
21660;0;0;0.92212;45.1839;23;0;23;49;45.1839
21720;0;0;0.885657;43.3972;23;0;23;48;43.3972
21780;1.1309;2.51312;0.976164;47.832;27;0;27;49;47.832
21840;4.47385;8.38848;0.999715;48.986;33;1;32;49;48.986
21900;0.854052;2.22796;0.973411;47.6971;23;0;23;49;47.6971
21960;0.286966;0.521756;0.882209;43.2283;33;0;33;49;43.2283
22020;0;0;0.777201;38.0829;13;0;13;46;38.0829
22080;0;0;0.728088;35.6763;28;0;28;41;35.6763
22140;0;0;0.740595;36.2891;18;0;18;39;36.2891
22200;0;0;0.702335;34.4144;25;0;25;38;34.4144
22260;0;0;0.733314;35.9324;21;0;21;42;35.9324
22320;0;0;0.701603;34.3785;28;0;28;42;34.3785
22380;0;0;0.793551;38.884;21;0;21;44;38.884
22440;0;0;0.713481;34.9606;19;0;19;38;34.9606
22500;0;0;0.731567;35.8468;27;0;27;39;35.8468
22560;0;0;0.654587;32.0747;24;0;24;36;32.0747
22620;0;0;0.727265;35.636;21;0;21;41;35.636
22680;0;0;0.7169;35.1281;24;0;24;39;35.1281
22740;0;0;0.637693;31.2469;15;0;15;38;31.2469
22800;0;0;0.808815;39.6319;33;0;33;49;39.6319
22860;0;0;0.834727;40.9016;24;0;24;47;40.9016
22920;0;0;0.849524;41.6267;24;0;24;46;41.6267
22980;0;0;0.810934;39.7358;32;0;32;44;39.7358
23040;0;0;0.901158;44.1568;23;0;23;49;44.1568
23100;0;0;0.789739;38.6972;19;0;19;47;38.6972
23160;0;0;0.810282;39.7038;31;0;31;46;39.7038
23220;0;0;0.817099;40.0379;27;0;27;47;40.0379
23280;0;0;0.907172;44.4514;23;0;23;47;44.4514
23340;0.112248;0.280619;0.945045;46.3072;24;0;24;49;46.3072
23400;0;0;0.89566;43.8873;24;0;24;48;43.8873
23460;0;0;0.885896;43.4089;26;0;26;48;43.4089
23520;0;0;0.879744;43.1075;28;0;28;47;43.1075
23580;0;0;0.823744;40.3635;26;0;26;45;40.3635
23640;3.20599;5.1989;0.957742;46.9293;44;7;37;49;46.9293
23700;3.05504;6.78899;0.999399;48.9706;29;2;27;49;48.9706
23760;0.750576;2.04702;0.944903;46.3003;22;0;22;49;46.3003
23820;2.10417;3.60714;0.983258;48.1796;35;0;35;49;48.1796
23880;8.47602;18.1629;1;49;30;2;28;49;49
23940;4.70513;17.6442;1;49;25;9;16;49;49
24000;0.0604925;0.181478;0.896548;43.9308;20;0;20;49;43.9308
24060;0.272414;0.563616;0.945498;46.3294;29;0;29;49;46.3294
24120;1.08005;2.23458;0.975125;47.7811;29;0;29;49;47.7811
24180;1.25901;3.02163;0.997451;48.8751;25;0;25;49;48.8751
24240;9.3696;20.0777;1;49;28;0;28;49;49
24300;6.19983;16.9086;1;49;28;6;22;49;49
24360;5.10466;9.87999;1;49;31;0;31;49;49
24420;0.996725;2.39214;0.988599;48.4413;25;0;25;49;48.4413
24480;2.06931;3.18355;0.988269;48.4252;39;0;39;49;48.4252
24540;2.97448;6.37389;0.999674;48.984;28;0;28;49;48.984
24600;9.54859;26.0416;1;49;31;9;22;49;49
24660;3.30435;7.343;0.990761;48.5473;27;0;27;49;48.5473
24720;0.525511;1.08726;0.987052;48.3655;29;0;29;49;48.3655
24780;0.242501;0.538892;0.937003;45.9132;27;0;27;49;45.9132
24840;0.0147615;0.0369038;0.950476;46.5733;24;0;24;49;46.5733
24900;2.82843;4.84873;0.998168;48.9102;35;0;35;49;48.9102
24960;0;0;0.891102;43.664;15;0;15;49;43.664
25020;0;0;0.863933;42.3327;27;0;27;49;42.3327
25080;4.4938;8.9876;0.988522;48.4376;31;1;30;49;48.4376
25140;6.07528;14.5807;1;49;25;0;25;49;49
25200;0.14342;0.661938;0.911955;44.6858;13;0;13;49;44.6858
25260;0;0;0.850121;41.6559;24;0;24;48;41.6559
25320;0;0;0.724857;35.518;28;0;28;41;35.518
25380;0.0203032;0.0338386;0.897629;43.9838;36;0;36;49;43.9838
25440;1.05566;2.26213;0.96061;47.0699;28;0;28;49;47.0699
25500;0;0;0.871917;42.7239;27;0;27;46;42.7239
25560;0;0;0.760927;37.2854;22;0;22;44;37.2854
25620;0.736887;1.38166;0.929807;45.5605;32;0;32;49;45.5605
25680;0;0;0.853096;41.8017;23;0;23;47;41.8017
